RegPeltierTempColdsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2192,4,0,2200,500,250,0,
2192,4,0,2200,500,250,0,
2192,4,0,2200,500,250,0,
2192,4,0,2200,500,250,0,
2192,4,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,3,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2193,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,2,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,4,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2188,2,0,2200,500,250,0,
2188,2,0,2200,500,250,0,
2188,2,0,2200,500,250,0,
2188,2,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,2,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2194,3,0,2200,500,250,0,
2191,2,0,2200,500,250,0,
2191,2,0,2200,500,250,0,
2191,2,0,2200,500,250,0,
2191,2,0,2200,500,250,0,
2191,2,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2196,1,0,2200,500,250,0,
2196,1,0,2200,500,250,0,
2196,1,0,2200,500,250,0,
2196,1,0,2200,500,250,0,
2189,1,0,2200,500,250,0,
2189,1,0,2200,500,250,0,
2189,1,0,2200,500,250,0,
2189,1,0,2200,500,250,0,
2189,1,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2193,4,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2195,3,0,2200,500,250,0,
2192,1,0,2200,500,250,0,
2192,1,0,2200,500,250,0,
2192,1,0,2200,500,250,0,
2192,1,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
